CD_SETOR;V00644;V00645;V00646;V00647;V00648;V00649;V00650;V00651;V00652;V00653;V00654;V00655;V00656;V00657;V00658;V00659;V00660;V00661;V00662;V00663;V00664;V00665;V00666;V00667;V00668;V00669;V00670;V00671;V00672;V00673;V00674;V00675;V00676;V00677;V00678;V00679;V00680;V00681;V00682;V00683;V00684;V00685;V00686;V00687;V00688;V00689;V00690;V00691;V00692;V00693;V00694;V00695;V00696;V00697;V00698;V00699;V00700;V00701;V00702;V00703;V00704;V00705;V00706;V00707;V00708;V00709;V00710;V00711;V00712;V00713;V00714;V00715;V00716;V00717;V00718;V00719;V00720;V00721;V00722;V00723;V00724;V00725;V00726;V00727;V00728;V00729;V00730;V00731;V00732;V00733;V00734;V00735;V00736;V00737;V00738;V00739;V00740;V00741;V00742;V00743;V00744;V00745;V00746;V00747;V00748;V00749;V00750;V00751;V00752;V00753;V00754;V00755;V00756;V00757;V00758;V00759;V00760;V00761;V00762;V00763;V00764;V00765;V00766;V00767;V00768;V00769;V00770;V00771;V00772;V00773;V00774;V00775;V00776;V00777;V00778;V00779;V00780;V00781;V00782;V00783;V00784;V00785;V00786;V00787;V00788;V00789;V00790;V00791;V00792;V00793;V00794;V00795;V00796;V00797;V00798;V00799;V00800;V00801;V00802;V00803;V00804;V00805;V00806;V00807;V00808;V00809;V00810;V00811;V00812;V00813;V00814;V00815;V00816;V00817;V00818;V00819;V00820;V00821;V00822;V00823;V00824;V00825;V00826;V00827;V00828;V00829;V00830;V00831;V00832;V00833;V00834;V00835;V00836;V00837;V00838;V00839;V00840;V00841;V00842;V00843;V00844;V00845;V00846;V00847;V00848;V00849;V00850;V00851;V00852;V00853;V00854;V00855;V00856;V00857;V00858;V00859;V00860;V00861;V00862;V00863;V00864;V00865;V00866;V00867;V00868;V00869;V00870;V00871;V00872;V00873;V00874;V00875;V00876;V00877;V00878;V00879;V00880;V00881;V00882;V00883;V00884;V00885;V00886;V00887;V00888;V00889;V00890;V00891;V00892;V00893;V00894;V00895;V00896;V00897;V00898;V00899;V00900;V00901;V00902;V00903;V00904;V00905;V00906;V00907;V00908;V00909;V00910;V00911;V00912;V00913;V00914;V00915;V00916;V00917;V00918;V00919;V00920;V00921;V00922;V00923;V00924;V00925;V00926;V00927;V00928;V00929;V00930;V00931;V00932;V00933;V00934;V00935;V00936;V00937;V00938;V00939;V00940;V00941;V00942;V00943;V00944;V00945;V00946;V00947;V00948;V00949;V00950;V00951;V00952;V00953;V00954;V00955;V00956;V00957;V00958;V00959;V00960;V00961;V00962;V00963;V00964;V00965;V00966;V00967;V00968;V00969;V00970;V00971;V00972;V00973;V00974;V00975;V00976;V00977;V00978;V00979;V00980;V00981;V00982;V00983;V00984;V00985;V00986;V00987;V00988;V00989;V00990;V00991;V00992;V00993;V00994;V00995;V00996;V00997;V00998;V00999;V01000;V01001;V01002;V01003;V01004;V01005;CD_MUN
230280005000001;15;18;11;14;19;9;9;23;13;19;16;19;13;X;X;0;11;0;4;X;0;13;0;5;0;0;6;0;6;0;0;8;0;9;X;0;8;0;4;0;0;5;0;X;X;0;6;0;4;X;0;17;0;5;X;0;7;0;11;0;0;8;0;8;0;0;8;0;7;X;0;10;0;5;0;0;8;0;6;6;7;5;11;4;3;8;5;11;4;9;6;9;12;4;9;8;5;6;15;8;8;12;10;7;15;18;11;14;18;9;7;23;11;16;15;14;11;X;X;0;11;0;4;X;0;13;0;5;0;0;6;0;6;0;0;8;0;8;X;0;8;0;4;0;0;5;0;X;X;0;4;0;4;X;0;17;0;5;X;0;5;0;9;0;0;7;0;7;0;0;8;0;4;X;0;9;0;4;0;0;7;0;6;6;7;5;10;4;3;8;5;10;3;5;5;9;12;4;9;8;5;4;15;6;6;12;9;6;44;0;82;5;56;11;19;0;35;X;23;7;25;0;47;4;33;4;11;0;3;0;0;0;30;0;0;0;29;X;6;0;0;0;47;4;0;0;24;7;X;X;0;0;31;3;0;0;182;16;64;8;10;X;0;0;108;7;0;0;77;8;105;8;26;6;6;X;0;0;45;X;0;0;38;X;4;0;0;0;63;6;0;0;X;0;X;0;X;0;3;0;9;0;6;0;4;X;12;0;9;0;13;X;9;0;10;3;6;X;33;4;5;0;0;0;47;5;0;0;X;0;20;0;20;3;3;0;23;X;18;4;85;9;41;3;44;6;41;42;8;19;16;23;X;6;X;3;X;6;4;3;X;0;2302800
230280005000002;20;22;26;12;15;16;15;26;30;22;17;34;36;10;X;0;9;0;7;3;0;12;0;11;X;0;13;0;5;X;0;5;0;X;X;0;12;0;8;X;0;7;0;4;X;0;10;0;14;X;0;10;X;10;0;0;20;0;6;0;0;15;X;10;0;X;6;0;14;X;X;18;0;18;3;X;13;0;7;12;13;6;8;7;7;9;12;10;6;8;5;13;10;13;6;7;9;8;17;18;12;11;26;31;20;22;26;12;14;15;15;26;29;21;15;31;24;10;X;0;9;0;7;3;0;12;0;11;X;0;13;0;5;X;0;5;0;X;X;0;11;0;8;0;0;7;0;4;X;0;10;0;14;X;0;10;X;10;0;0;19;0;6;0;0;14;X;9;0;X;5;0;13;X;X;16;0;12;X;0;10;0;7;12;13;6;8;6;7;9;11;9;6;7;X;13;10;13;6;6;9;8;17;18;12;9;24;22;68;0;111;3;91;18;32;0;47;X;24;5;36;0;64;X;67;13;28;0;6;0;0;0;34;0;0;0;43;0;5;X;0;0;62;X;X;0;40;8;3;X;X;X;45;7;X;0;270;21;111;8;14;X;X;X;141;9;X;0;103;7;167;14;45;X;8;X;0;0;49;5;X;0;66;7;6;X;X;X;92;4;X;0;0;0;4;0;X;0;3;0;3;0;7;X;7;0;11;0;18;0;12;0;10;X;15;X;12;3;39;X;3;X;X;X;60;X;X;0;3;0;14;X;13;X;3;0;35;0;36;4;104;6;30;X;74;4;30;74;20;21;39;36;0;7;X;6;6;5;X;5;5;3;2302800
230280005000004;32;38;41;26;24;21;23;27;19;21;21;24;8;11;0;0;21;0;9;4;0;25;0;12;5;0;24;0;3;4;0;19;0;8;5;0;11;0;6;6;0;9;0;9;5;0;9;0;7;5;0;15;0;9;4;0;6;0;10;6;0;5;0;7;8;0;6;0;11;5;0;8;0;4;X;0;X;0;18;12;21;13;9;12;6;11;7;9;8;12;3;14;26;20;13;15;9;17;16;12;12;13;12;5;32;38;41;25;21;21;19;22;16;16;16;16;7;11;0;0;21;0;9;4;0;25;0;12;5;0;24;0;3;4;0;18;0;7;3;0;11;0;6;6;0;9;0;7;4;0;8;0;6;X;0;14;0;9;3;0;4;0;7;4;0;5;0;5;5;0;6;0;7;3;0;6;0;4;X;0;X;0;18;12;21;12;6;12;5;8;6;8;7;6;3;14;26;20;13;15;9;14;14;10;8;9;10;4;111;0;124;16;55;19;51;0;49;9;24;8;60;0;75;7;31;11;32;0;9;0;0;0;70;0;0;0;38;4;22;7;0;0;64;5;0;0;23;9;13;8;0;0;19;X;0;0;290;35;93;13;44;15;0;0;153;7;0;0;124;17;166;18;39;8;23;6;0;0;62;3;0;0;54;5;21;9;0;0;91;4;0;0;3;0;15;0;25;0;8;0;16;0;8;0;11;4;10;X;11;X;13;X;13;4;13;4;6;0;51;7;21;6;0;0;80;5;0;0;22;0;25;X;23;3;21;0;39;6;22;7;152;18;70;5;82;13;68;82;14;36;29;34;0;X;4;0;X;4;4;6;0;0;2302800
230280005000005;51;59;39;44;42;44;45;55;39;39;30;50;37;23;X;0;26;0;16;3;0;40;0;11;X;0;26;0;11;X;0;32;0;13;X;0;28;0;17;X;0;26;0;12;3;0;30;0;14;3;0;38;0;11;X;0;26;0;8;X;0;29;0;11;3;0;16;0;11;X;0;37;0;12;X;0;24;0;24;32;16;19;19;20;18;22;19;18;12;20;12;27;27;23;25;23;24;27;33;20;21;18;30;25;51;59;38;43;40;40;42;53;35;37;29;37;26;23;X;0;26;0;16;3;0;40;0;10;X;0;26;0;10;X;0;32;0;13;X;0;26;0;16;X;0;23;0;11;X;0;29;0;14;X;0;37;0;10;X;0;23;0;8;X;0;27;0;11;3;0;15;0;9;X;0;26;0;8;X;0;17;0;24;32;16;18;18;17;16;22;17;17;11;13;8;27;27;22;25;22;23;26;31;18;20;18;24;18;148;X;253;16;129;27;72;0;108;9;49;13;76;X;145;7;80;14;49;X;7;0;0;0;92;0;0;0;74;4;9;X;0;0;170;10;0;0;36;6;8;0;0;0;85;21;0;0;530;44;159;11;24;X;0;0;347;31;0;0;229;22;301;22;70;4;14;X;0;0;145;17;0;0;89;7;10;X;0;0;202;14;0;0;X;0;11;0;14;0;16;0;11;0;20;X;23;X;26;0;24;3;30;X;21;X;25;7;15;7;57;6;13;X;0;0;168;17;0;0;15;0;45;3;31;7;12;0;75;4;60;10;238;24;91;10;147;14;91;147;46;62;71;62;4;3;5;6;3;8;9;10;0;0;2302800
230280005000006;47;64;54;47;45;43;44;45;42;27;29;41;16;9;X;0;36;0;23;3;0;38;0;10;5;0;39;0;13;3;0;31;0;15;X;0;29;0;11;X;0;30;0;9;4;0;31;0;13;3;0;29;0;8;X;0;32;0;6;0;0;21;0;10;0;0;19;0;12;X;0;28;0;6;0;0;10;0;25;38;27;23;17;20;17;23;17;11;11;16;4;22;26;27;24;28;23;27;22;25;16;18;25;12;47;64;54;45;44;40;40;38;35;21;18;26;8;9;X;0;36;0;23;3;0;38;0;10;5;0;39;0;12;X;0;31;0;15;X;0;28;0;10;X;0;28;0;9;4;0;27;0;12;X;0;25;0;7;0;0;28;0;6;0;0;15;0;6;0;0;12;0;6;0;0;20;0;X;0;0;6;0;25;38;27;21;17;17;15;17;14;7;7;10;X;22;26;27;24;27;23;25;21;21;14;11;16;6;165;0;242;24;73;40;90;0;101;16;26;16;75;0;141;8;47;24;42;0;10;0;0;0;113;0;0;0;65;4;10;5;0;0;167;15;0;0;20;14;0;X;0;0;53;25;0;0;480;64;127;18;20;6;0;0;333;40;0;0;217;32;263;32;51;7;9;5;0;0;157;20;0;0;76;11;11;X;0;0;176;20;0;0;3;0;11;0;13;0;16;X;18;X;20;X;23;X;19;4;25;5;12;3;12;7;16;10;6;3;45;12;9;3;0;0;140;23;0;0;11;0;58;9;17;7;16;0;63;6;29;16;194;38;86;16;108;22;86;108;31;63;75;65;X;4;9;7;7;9;5;4;X;X;2302800
230280005000007;76;83;66;44;55;57;52;50;47;25;21;34;32;29;4;0;42;X;21;3;0;59;0;14;X;0;50;0;10;X;0;29;3;17;4;0;33;X;12;X;0;43;0;15;5;0;31;X;16;5;0;29;0;8;4;0;35;0;6;X;X;17;0;8;X;0;11;X;15;3;0;16;0;16;6;0;10;0;40;40;36;14;25;15;31;18;19;10;5;20;19;36;43;30;30;30;42;21;32;28;15;16;14;13;76;80;65;40;46;53;42;39;34;17;14;20;13;29;4;0;42;X;20;X;0;58;0;14;X;0;49;0;8;X;0;27;3;11;4;0;30;X;11;X;0;40;0;12;4;0;25;X;13;3;0;23;0;6;3;0;25;0;6;0;0;11;0;5;X;0;8;0;13;0;0;7;0;6;3;0;4;0;40;38;35;11;18;14;26;13;12;6;3;11;5;36;42;30;29;28;39;16;26;22;11;11;9;8;221;4;254;51;64;48;113;3;94;28;25;29;108;X;160;23;39;19;63;X;8;X;0;0;149;X;X;0;61;17;18;4;0;0;170;30;5;0;30;15;4;7;0;X;30;24;0;X;539;103;154;33;30;12;0;X;349;56;6;X;232;60;307;43;76;20;12;10;0;X;143;29;X;0;78;13;18;X;0;0;206;27;5;X;X;0;17;0;13;0;20;X;21;4;21;3;26;9;28;4;19;9;11;4;8;5;14;10;5;14;50;23;12;6;0;0;141;35;X;0;11;0;50;15;17;19;21;0;85;16;21;14;205;64;78;34;127;30;77;127;39;72;78;72;X;6;16;10;5;6;11;12;X;X;2302800
230280005000008;14;18;33;22;11;15;23;17;29;17;14;21;14;X;4;0;9;0;10;X;0;7;0;6;3;0;24;0;7;0;0;15;0;3;X;0;7;0;4;0;0;11;0;6;4;0;13;0;5;0;0;12;0;6;3;0;20;0;7;0;0;10;0;4;0;X;9;0;4;3;0;14;0;7;X;0;6;0;7;7;15;9;6;7;11;4;11;4;4;6;4;7;11;18;13;5;8;12;13;18;13;10;15;10;14;18;32;22;11;13;20;13;24;14;10;12;9;X;4;0;9;0;10;X;0;7;0;6;3;0;23;0;7;0;0;15;0;3;X;0;7;0;4;0;0;9;0;6;4;0;10;0;4;0;0;9;0;5;3;0;16;0;6;0;0;8;0;X;0;0;8;0;X;X;0;9;0;5;0;0;4;0;7;7;15;9;6;5;9;3;8;X;3;3;X;7;11;17;13;5;8;11;10;16;12;7;9;7;64;X;103;14;45;21;29;0;40;8;10;8;35;X;63;6;35;13;17;0;8;0;0;0;39;X;0;0;29;X;8;0;0;0;66;12;0;0;15;7;X;3;0;X;29;10;0;0;212;36;61;9;17;3;0;X;134;23;0;0;79;16;133;20;22;3;7;X;0;0;50;11;0;0;39;6;10;X;0;X;84;12;0;0;0;0;X;0;10;X;6;0;4;0;4;0;8;X;7;3;13;4;7;X;7;X;10;8;4;3;19;5;6;X;0;X;57;16;0;0;5;0;19;4;9;6;7;X;23;4;19;9;82;24;33;10;49;14;33;49;9;35;25;29;0;6;6;3;3;6;3;4;0;X;2302800
230280005000009;50;47;59;59;42;45;46;49;48;30;29;42;37;26;X;0;23;0;18;0;0;29;0;11;3;0;45;0;18;X;0;40;0;15;X;0;25;0;17;X;0;27;0;14;5;0;27;0;14;3;0;32;0;14;X;0;33;0;9;X;0;20;0;8;X;0;20;0;13;6;0;23;0;15;X;0;21;0;28;20;26;25;21;26;20;21;21;13;9;19;14;22;27;33;34;21;19;26;28;27;17;20;23;23;50;47;57;58;41;40;43;38;38;21;19;32;23;26;X;0;23;0;18;0;0;29;0;11;3;0;43;0;17;X;0;40;0;15;X;0;24;0;16;X;0;23;0;13;5;0;25;0;12;X;0;24;0;11;X;0;26;0;7;0;0;14;0;7;X;0;11;0;10;5;0;17;0;10;X;0;12;0;28;20;25;24;20;22;19;15;14;10;8;13;6;22;27;32;34;21;18;24;23;24;11;11;19;17;154;X;258;31;95;43;73;X;114;20;37;18;81;X;144;11;58;25;55;0;4;0;0;0;95;X;0;0;84;8;12;X;0;0;162;22;0;0;34;11;7;X;0;0;54;30;0;0;507;76;173;19;23;3;0;0;311;54;0;0;224;39;283;37;76;12;14;X;0;0;134;25;0;0;97;7;9;X;0;0;177;29;0;0;4;0;5;0;19;X;28;0;17;X;19;X;24;X;26;4;24;5;14;4;9;4;22;6;14;7;67;4;14;X;0;0;144;29;0;0;8;X;47;8;26;10;20;0;91;5;33;11;225;35;81;19;144;16;81;143;39;38;65;56;5;10;11;X;10;14;7;8;3;5;2302800
230280005000010;73;87;105;80;75;63;52;61;41;37;27;42;16;22;7;0;44;0;32;6;0;49;0;17;3;0;85;0;15;6;0;59;0;18;5;0;52;0;15;10;0;38;0;13;6;0;33;0;10;9;0;42;0;8;4;0;29;0;7;X;0;28;0;4;3;0;20;0;7;3;0;32;0;4;0;0;12;0;35;43;53;40;31;28;22;32;18;15;15;18;6;38;44;52;40;44;35;30;29;23;22;12;24;10;71;87;104;74;73;52;46;49;23;22;16;27;6;21;7;0;43;0;32;6;0;49;0;17;3;0;84;0;13;6;0;55;0;17;5;0;51;0;13;8;0;31;0;11;6;0;29;0;8;9;0;32;0;5;3;0;15;0;7;X;0;14;0;3;0;0;13;0;5;0;0;22;0;4;0;0;X;0;35;43;53;37;29;23;20;23;9;8;8;10;X;36;44;51;37;44;29;26;26;14;14;8;17;4;262;3;317;55;71;51;131;0;141;30;28;26;131;3;176;25;43;25;70;X;16;0;0;0;176;X;0;0;67;12;37;3;0;0;213;40;0;0;19;3;X;7;0;0;51;41;0;0;650;109;156;16;54;10;0;0;440;83;0;0;300;56;350;53;72;7;27;7;0;0;201;42;0;0;84;9;27;3;0;0;239;41;0;0;12;0;32;0;41;0;36;X;42;0;25;6;22;5;25;X;10;5;14;7;6;7;14;10;4;5;60;10;31;5;0;0;192;33;0;0;29;0;47;9;9;11;56;0;113;10;29;18;283;48;85;20;198;28;85;198;92;45;67;43;18;39;8;X;16;10;13;14;X;0;2302800
230280005000011;129;130;136;120;142;113;75;63;52;46;40;46;38;49;11;0;69;0;35;7;0;88;0;35;13;0;88;0;22;12;0;86;0;35;8;0;99;0;24;12;0;77;0;14;10;0;51;0;15;8;0;40;0;15;11;0;26;0;11;X;X;33;0;10;8;0;22;0;9;12;0;25;0;12;5;0;21;0;73;61;74;50;62;53;37;32;19;19;16;23;17;56;69;62;70;80;60;38;31;33;27;24;23;21;128;128;133;117;134;103;57;46;37;27;28;21;12;49;11;0;68;0;34;7;0;87;0;34;13;0;86;0;21;12;0;84;0;32;8;0;94;0;23;10;0;70;0;11;6;0;40;0;12;6;0;28;0;8;9;0;20;0;6;X;X;19;0;8;5;0;15;0;4;4;0;13;0;5;0;0;7;0;72;60;71;48;56;46;29;19;13;11;6;11;5;56;68;62;69;78;57;28;27;24;16;22;10;7;389;6;494;71;88;82;203;5;211;42;33;42;186;X;283;29;55;40;117;X;31;0;0;0;241;4;0;0;107;18;51;10;0;0;336;43;0;0;23;19;10;16;X;0;54;47;0;0;971;159;247;39;92;26;X;0;631;94;0;0;447;89;524;70;126;22;36;13;0;0;285;54;0;0;121;17;56;13;X;0;346;40;0;0;6;0;20;0;51;X;50;0;75;5;63;7;37;6;31;8;21;11;16;14;15;7;8;15;7;12;92;20;38;13;X;0;269;53;0;0;36;X;111;21;15;24;41;0;166;16;31;24;400;86;162;46;238;40;162;238;103;138;152;99;6;14;7;7;7;8;10;18;0;0;2302800
