CD_SETOR;SITUACAO;CD_SIT;CD_TIPO;AREA_KM2;CD_REGIAO;NM_REGIAO;CD_UF;NM_UF;CD_MUN;NM_MUN;CD_DIST;NM_DIST;CD_SUBDIST;NM_SUBDIST;CD_BAIRRO;NM_BAIRRO;CD_NU;NM_NU;CD_FCU;NM_FCU;CD_AGLOM;NM_AGLOM;CD_RGINT;NM_RGINT;CD_RGI;NM_RGI;CD_CONCURB;NM_CONCURB;V0001;V0002;V0003;V0004;V0005;V0006;V0007
230280005000001;Urbana;1;0;0,1324584;2;Nordeste;23;Ceará;2302800;Canindé;230280005;Canindé;23028000500;;2302800006;Centro;.;;.;;.;;2301;Fortaleza;230004;Canindé;.;;220;166;149;17;2,3;0,0109;92
230280005000002;Urbana;1;0;0,1249978;2;Nordeste;23;Ceará;2302800;Canindé;230280005;Canindé;23028000500;;2302800006;Centro;.;;.;;.;;2301;Fortaleza;230004;Canindé;.;;319;172;168;4;2,7;0,0273;110
230280005000004;Urbana;1;0;0,0391945;2;Nordeste;23;Ceará;2302800;Canindé;230280005;Canindé;23028000500;;2302800006;Centro;.;;.;;.;;2301;Fortaleza;230004;Canindé;.;;393;270;269;1;2,3;0,0476;168
230280005000005;Urbana;1;0;0,0585953;2;Nordeste;23;Ceará;2302800;Canindé;230280005;Canindé;23028000500;;2302800015;Santa Clara;.;;.;;.;;2301;Fortaleza;230004;Canindé;.;;678;312;312;0;2,6;0,0000;262
230280005000006;Urbana;1;0;0,1036729;2;Nordeste;23;Ceará;2302800;Canindé;230280005;Canindé;23028000500;;2302800001;Alto Guaramiranga;.;;.;;.;;2301;Fortaleza;230004;Canindé;.;;673;323;320;3;2,9;0,0086;232
230280005000007;Urbana;1;0;0,1066680;2;Nordeste;23;Ceará;2302800;Canindé;230280005;Canindé;23028000500;;2302800001;Alto Guaramiranga;.;;.;;.;;2301;Fortaleza;230004;Canindé;.;;813;317;317;0;3,0;0,0112;269
230280005000008;Urbana;1;0;0,0317312;2;Nordeste;23;Ceará;2302800;Canindé;230280005;Canindé;23028000500;;2302800001;Alto Guaramiranga;.;;.;;.;;2301;Fortaleza;230004;Canindé;.;;293;157;157;0;2,8;0,0377;106
230280005000009;Urbana;1;0;0,0625878;2;Nordeste;23;Ceará;2302800;Canindé;230280005;Canindé;23028000500;;2302800001;Alto Guaramiranga;.;;.;;.;;2301;Fortaleza;230004;Canindé;.;;709;384;377;7;2,7;0,0463;259
230280005000010;Urbana;1;0;0,0842480;2;Nordeste;23;Ceará;2302800;Canindé;230280005;Canindé;23028000500;;2302800001;Alto Guaramiranga;.;;.;;.;;2301;Fortaleza;230004;Canindé;.;;1001;394;394;0;3,0;0,0298;336
230280005000011;Urbana;1;0;0,3196542;2;Nordeste;23;Ceará;2302800;Canindé;230280005;Canindé;23028000500;;2302800011;Palestina;.;;.;;.;;2301;Fortaleza;230004;Canindé;.;;1505;596;596;0;3,1;0,0165;486
230280005000012;Urbana;2;0;0,4027692;2;Nordeste;23;Ceará;2302800;Canindé;230280005;Canindé;23028000500;;2302800011;Palestina;.;;.;;.;;2301;Fortaleza;230004;Canindé;.;;1113;449;448;1;3,0;0,0164;365
230280005000013;Rural;8;0;0,8205633;2;Nordeste;23;Ceará;2302800;Canindé;230280005;Canindé;23028000500;;2302800009;Jubaia;.;;.;;.;;2301;Fortaleza;230004;Canindé;.;;140;73;73;0;2,9;0,0204;49
230280005000014;Urbana;1;0;0,2200303;2;Nordeste;23;Ceará;2302800;Canindé;230280005;Canindé;23028000500;;2302800014;São Mateus;.;;.;;.;;2301;Fortaleza;230004;Canindé;.;;755;305;305;0;3,1;0,0082;244
230280005000015;Urbana;1;0;0,1144989;2;Nordeste;23;Ceará;2302800;Canindé;230280005;Canindé;23028000500;;2302800008;João Paulo II;.;;.;;.;;2301;Fortaleza;230004;Canindé;.;;755;306;306;0;2,9;0,0388;258
230280005000017;Urbana;1;1;0,0830266;2;Nordeste;23;Ceará;2302800;Canindé;230280005;Canindé;23028000500;;2302800005;Capitão Pedro Sampaio;.;;23028000004;Capitão Pedro Sampaio;.;;2301;Fortaleza;230004;Canindé;.;;588;225;225;0;3,2;0,0163;184
230280005000018;Urbana;1;0;0,0613547;2;Nordeste;23;Ceará;2302800;Canindé;230280005;Canindé;23028000500;;2302800005;Capitão Pedro Sampaio;.;;.;;.;;2301;Fortaleza;230004;Canindé;.;;581;227;227;0;3,1;0,0000;190
230280005000019;Urbana;1;0;0,0514746;2;Nordeste;23;Ceará;2302800;Canindé;230280005;Canindé;23028000500;;2302800005;Capitão Pedro Sampaio;.;;.;;.;;2301;Fortaleza;230004;Canindé;.;;513;260;258;2;2,8;0,0000;183
230280005000020;Urbana;1;0;0,0388937;2;Nordeste;23;Ceará;2302800;Canindé;230280005;Canindé;23028000500;;2302800013;Santa Luzia;.;;.;;.;;2301;Fortaleza;230004;Canindé;.;;392;159;159;0;2,9;0,0074;135
230280005000021;Urbana;1;0;0,0952560;2;Nordeste;23;Ceará;2302800;Canindé;230280005;Canindé;23028000500;;2302800013;Santa Luzia;.;;.;;.;;2301;Fortaleza;230004;Canindé;.;;792;353;353;0;2,8;0,0355;282
230280005000022;Urbana;1;0;0,0639247;2;Nordeste;23;Ceará;2302800;Canindé;230280005;Canindé;23028000500;;2302800013;Santa Luzia;.;;.;;.;;2301;Fortaleza;230004;Canindé;.;;690;272;272;0;2,9;0,0128;235
230280005000025;Urbana;1;0;0,1526023;2;Nordeste;23;Ceará;2302800;Canindé;230280005;Canindé;23028000500;;2302800007;Imaculada Conceição;.;;.;;.;;2301;Fortaleza;230004;Canindé;.;;738;377;377;0;2,8;0,0262;267
230280005000026;Urbana;1;0;0,2049548;2;Nordeste;23;Ceará;2302800;Canindé;230280005;Canindé;23028000500;;2302800003;Bela Vista;.;;.;;.;;2301;Fortaleza;230004;Canindé;.;;737;331;329;2;2,7;0,0000;271
