CD_SETOR;V01317;V01318;V01319;V01320;V01321;V01322;V01323;V01324;V01325;V01326;V01327;V01328;V01329;V01330;V01331;V01332;V01333;V01334;V01335;V01336;V01337;V01338;V01339;V01340;V01341;V01342;V01343;V01344;V01345;V01346;V01347;V01348;V01349;V01350;V01351;V01352;V01353;V01354;V01355;V01356;V01357;V01358;V01359;V01360;V01361;V01362;V01363;V01364;V01365;V01366;V01367;V01368;V01369;V01370;V01371;V01372;V01373;V01374;V01375;V01376;V01377;V01378;V01379;V01380;V01381;V01382;V01383;V01384;V01385;V01386;V01387;V01388;V01389;V01390;V01391;V01392;V01393;V01394;V01395;V01396;V01397;V01398;V01399;V01400;V01401;V01402;V01403;V01404;V01405;V01406;V01407;V01408;V01409;V01410;V01411;CD_MUN
230280005000001;83;11;0;126;0;38;7;0;52;0;45;4;0;74;0;37;5;0;52;0;17;20;3;X;0;0;24;28;0;0;0;X;7;10;19;0;0;X;X;X;0;0;0;0;0;0;X;4;21;25;0;0;0;0;0;11;0;0;11;0;11;3;0;30;0;30;6;0;51;0;31;X;0;34;0;4;0;0;5;0;34;7;0;47;0;4;0;0;5;0;41;4;0;69;0;2302800
230280005000002;125;18;4;170;X;48;10;0;65;X;77;8;4;105;X;40;5;3;61;X;13;27;X;3;0;3;17;44;0;X;0;0;X;15;24;0;0;X;X;X;0;0;0;0;3;0;4;5;27;25;0;0;0;X;0;6;X;0;20;0;28;6;0;34;0;43;6;0;64;X;48;4;4;52;X;X;X;0;5;0;46;9;0;60;X;3;X;0;4;0;74;7;4;101;X;2302800
230280005000004;136;64;0;193;0;61;30;0;83;0;75;34;0;110;0;58;27;0;85;0;29;29;14;13;0;0;32;53;0;0;0;4;12;19;23;0;X;4;6;15;0;0;0;0;0;X;10;33;23;17;0;0;0;0;0;30;5;0;33;0;32;9;0;70;0;42;29;0;69;0;32;21;0;21;0;8;X;0;7;0;53;29;0;76;0;14;X;0;6;0;61;32;0;104;0;2302800
230280005000005;212;27;0;439;0;89;16;0;191;0;123;11;0;248;0;63;14;0;185;0;24;39;9;5;0;0;68;117;0;0;0;X;6;26;29;0;X;X;6;6;0;0;0;0;0;0;10;34;68;73;0;0;0;0;0;42;X;0;61;0;50;7;0;92;0;78;11;0;180;0;42;8;0;106;0;10;X;0;17;0;79;15;0;174;0;13;0;0;21;0;110;11;0;227;0;2302800
230280005000006;187;27;0;459;0;84;15;0;217;0;103;12;0;242;0;57;12;0;163;0;26;31;6;6;0;0;70;93;0;0;0;4;13;20;20;0;X;X;8;X;0;0;0;0;0;0;9;34;72;48;0;0;0;0;0;42;X;0;86;0;42;10;0;113;0;69;15;0;182;0;34;X;0;78;0;21;0;0;27;0;63;15;0;190;0;12;0;0;33;0;91;12;0;209;0;2302800
230280005000007;243;46;X;515;8;124;25;X;231;X;119;21;0;284;6;73;18;0;176;X;37;36;6;12;0;0;68;108;X;X;0;3;14;27;29;0;0;4;9;5;0;0;0;0;0;0;16;41;82;37;0;0;X;X;0;56;4;0;110;X;64;9;0;151;X;78;22;0;200;5;45;11;X;54;X;18;X;0;35;X;106;23;X;196;X;19;X;0;35;0;100;20;0;249;6;2302800
230280005000008;80;20;X;192;0;31;9;0;80;0;49;11;X;112;0;24;8;X;73;0;8;16;6;X;0;X;29;44;0;0;0;X;3;8;12;0;0;X;5;X;0;0;0;0;X;0;X;17;27;28;0;0;0;0;0;10;0;0;35;0;17;8;0;40;0;31;8;0;78;0;22;4;X;39;0;3;0;0;14;0;28;9;0;66;0;X;0;0;11;0;47;11;X;101;0;2302800
230280005000009;245;34;0;430;0;119;21;0;194;0;126;13;0;236;0;71;16;0;173;0;30;41;9;7;0;0;61;112;0;0;X;X;12;31;25;0;X;X;7;6;0;0;0;0;0;0;5;52;67;49;0;0;0;0;0;53;8;0;65;0;55;4;0;97;0;92;13;0;184;0;45;9;0;84;0;25;3;0;23;0;94;18;0;171;0;16;X;0;19;0;110;11;0;217;0;2302800
230280005000010;248;69;0;684;0;117;37;0;333;0;131;32;0;351;0;70;36;0;230;0;19;51;19;17;0;0;69;161;0;0;X;14;21;18;16;X;3;6;20;6;0;0;0;0;0;10;20;93;62;45;0;0;0;0;0;76;5;0;161;0;71;16;0;178;0;79;40;0;253;0;22;8;0;92;0;23;X;0;64;0;94;36;0;269;0;33;X;0;47;0;98;31;0;304;0;2302800
230280005000011;408;130;X;966;0;213;58;0;460;0;195;72;X;506;0;112;51;X;322;0;55;57;18;33;0;X;135;187;0;0;X;6;37;44;24;0;X;12;24;14;0;0;0;0;X;0;18;133;116;55;0;0;0;0;0;122;12;0;241;0;119;31;0;245;0;125;61;0;379;0;42;26;X;101;0;46;5;0;80;0;167;53;0;380;0;43;X;0;76;0;152;71;X;430;0;2302800
230280005000012;257;90;0;766;0;119;54;0;377;0;138;36;0;389;0;72;34;0;259;0;21;51;16;18;0;0;93;166;0;0;0;7;22;29;14;0;3;10;18;3;0;0;0;0;0;X;26;94;74;64;0;0;0;0;0;77;12;0;210;0;69;19;0;206;0;84;48;0;255;0;27;11;0;95;0;31;6;0;71;0;88;48;0;306;0;27;3;0;63;0;111;33;0;326;0;2302800
230280005000013;41;0;0;99;0;22;0;0;60;0;19;0;0;39;0;14;0;0;35;0;8;6;0;0;0;0;20;15;0;0;0;0;3;8;3;0;0;0;0;0;0;0;0;0;0;0;X;12;14;8;0;0;0;0;0;10;0;0;23;0;8;0;0;19;0;18;0;0;44;0;5;0;0;13;0;5;0;0;11;0;17;0;0;49;0;4;0;0;X;0;15;0;0;38;0;2302800
230280005000014;129;7;0;619;0;48;5;0;300;0;81;X;0;319;0;44;3;0;197;0;13;31;X;X;0;0;67;130;0;0;0;3;12;18;11;0;0;X;X;0;0;0;0;0;0;0;11;65;77;44;0;0;0;0;0;26;0;0;134;0;30;X;0;145;0;51;6;0;261;0;22;0;0;79;0;9;0;0;40;0;39;5;0;260;0;9;0;0;45;0;72;X;0;274;0;2302800
230280005000015;206;34;X;514;0;102;23;0;254;0;104;11;X;260;0;52;14;0;192;0;17;35;8;6;0;0;72;120;0;0;0;X;8;32;11;0;X;X;7;4;0;0;0;0;0;0;18;43;78;53;0;0;0;0;0;54;3;0;105;0;60;9;X;130;0;69;18;0;199;0;23;4;0;80;0;21;X;0;37;0;81;22;0;217;0;22;0;0;36;0;82;11;X;224;0;2302800
230280005000017;123;40;0;425;0;48;20;0;215;0;75;20;0;210;0;39;19;0;126;0;12;27;7;12;0;0;52;74;0;0;0;0;11;16;12;0;0;6;5;8;0;0;0;0;0;X;8;49;49;19;0;0;0;0;0;29;X;0;128;0;34;15;0;104;0;44;16;0;158;0;16;8;0;35;0;10;0;0;53;0;38;20;0;162;0;11;0;0;33;0;64;20;0;177;0;2302800
230280005000018;121;46;X;413;0;46;27;0;200;0;75;19;X;213;0;31;17;X;141;0;5;26;7;10;0;X;55;86;0;0;0;3;4;13;11;0;X;X;9;6;0;0;X;0;0;4;12;35;56;34;0;0;0;0;0;30;4;0;87;0;23;9;0;119;0;45;20;X;147;0;23;13;0;60;0;8;3;0;24;0;38;24;0;176;0;13;X;0;29;0;62;18;X;184;0;2302800
230280005000019;158;11;0;343;X;76;5;0;156;X;82;6;0;187;0;51;5;0;126;X;22;29;X;4;0;0;55;71;X;0;0;X;7;22;21;0;0;X;X;X;0;0;0;0;0;0;8;21;58;39;0;0;0;X;0;26;X;0;68;0;36;X;0;80;0;64;3;0;136;X;32;5;0;59;0;7;0;0;21;0;69;5;0;135;X;6;X;0;23;0;76;5;0;164;0;2302800
230280005000020;139;26;0;227;0;58;11;0;97;0;81;15;0;130;0;39;13;0;83;0;12;27;5;8;0;0;32;51;0;0;X;X;12;14;9;X;0;3;3;6;0;0;0;0;0;X;9;34;24;15;0;0;0;0;0;36;5;0;43;0;37;4;0;65;0;49;8;0;93;0;17;9;0;26;0;10;X;0;12;0;48;10;0;85;0;15;X;0;22;0;66;13;0;108;0;2302800
230280005000021;189;26;0;577;0;82;13;0;272;0;107;13;0;305;0;59;12;0;211;0;19;40;5;7;0;0;82;129;0;0;0;3;21;14;21;X;0;4;3;4;0;0;0;0;0;7;18;50;79;57;0;0;0;0;0;41;X;0;94;0;42;5;0;145;0;71;11;0;235;0;35;8;0;103;0;13;0;0;28;0;69;13;0;244;0;6;0;0;40;0;101;13;0;265;0;2302800
230280005000022;143;26;X;520;0;64;14;0;233;0;79;12;X;287;0;47;13;0;175;0;19;28;9;4;0;0;66;109;0;0;0;3;11;18;15;0;X;3;6;3;0;0;0;0;0;0;6;54;70;45;0;0;0;0;0;38;X;X;117;0;31;8;0;123;0;53;11;0;208;0;21;6;0;72;0;11;0;0;32;0;53;14;0;201;0;14;0;0;44;0;65;12;X;243;0;2302800
