SETOR;V00090;V00091;V00092;V00093;V00094;V00095;V00096;V00097;V00098;V00099;V00100;V00101;V00102;V00103;V00104;V00105;V00106;V00107;V00108;V00109;V00110;V00111;V00112;V00113;V00114;V00115;V00116;V00117;V00118;V00119;V00120;V00121;V00122;V00123;V00124;V00125;V00126;V00127;V00128;V00129;V00130;V00131;V00132;V00133;V00134;V00135;V00136;V00137;V00138;V00139;V00140;V00141;V00142;V00143;V00144;V00145;V00146;V00147;V00148;V00149;V00150;V00151;V00152;V00153;V00154;V00155;V00156;V00157;V00158;V00159;V00160;V00161;V00162;V00163;V00164;V00165;V00166;V00167;V00168;V00169;V00170;V00171;V00172;V00173;V00174;V00175;V00176;V00177;V00178;V00179;V00180;V00181;V00182;V00183;V00184;V00185;V00186;V00187;V00188;V00189;V00190;V00191;V00192;V00193;V00194;V00195;V00196;V00197;V00198;V00199;V00200;V00201;V00202;V00203;V00204;V00205;V00206;V00207;V00208;V00209;V00210;V00211;V00212;V00213;V00214;V00215;V00216;V00217;V00218;V00219;V00220;V00221;V00222;V00223;V00224;V00225;V00226;V00227;V00228;V00229;V00230;V00231;V00232;V00233;V00234;V00235;V00236;V00237;V00238;V00239;V00240;V00241;V00242;V00243;V00244;V00245;V00246;V00247;V00248;V00249;V00250;V00251;V00252;V00253;V00254;V00255;V00256;V00257;V00258;V00259;V00260;V00261;V00262;V00263;V00264;V00265;V00266;V00267;V00268;V00269;V00270;V00271;V00272;V00273;V00274;V00275;V00276;V00277;V00278;V00279;V00280;V00281;V00282;V00283;V00284;V00285;V00286;V00287;V00288;V00289;V00290;V00291;V00292;V00293;V00294;V00295;V00296;V00297;V00298;V00299;V00300;V00301;V00302;V00303;V00304;V00305;V00306;V00307;V00308;V00309;V00310;V00311;V00312;V00313;V00314;V00315;V00316;V00317;V00318;V00319;V00320;V00321;V00322;V00323;V00324;V00325;V00326;V00327;V00328;V00329;V00330;V00331;V00332;V00333;V00334;V00335;V00336;V00337;V00338;V00339;V00340;V00341;V00342;V00343;V00344;V00345;V00346;V00347;V00348;V00349;V00350;V00351;V00352;V00353;V00354;V00355;V00356;V00357;V00358;V00359;V00360;V00361;V00362;V00363;V00364;V00365;V00366;V00367;V00368;V00369;V00370;V00371;V00372;V00373;V00374;V00375;V00376;V00377;V00378;V00379;V00380;V00381;V00382;V00383;V00384;V00385;V00386;V00387;V00388;V00389;V00390;V00391;V00392;V00393;V00394;V00395;V00396;V00397;V00398;V00399;V00400;V00401;V00402;V00403;V00404;V00405;V00406;V00407;V00408;V00409;V00410;V00411;V00412;V00413;V00414;V00415;V00416;V00417;V00418;V00419;V00420;V00421;V00422;V00423;V00424;V00425;V00426;V00427;V00428;V00429;V00430;V00431;V00432;V00433;V00434;V00435;V00436;V00437;V00438;V00439;V00440;V00441;V00442;V00443;V00444;V00445;V00446;V00447;V00448;V00449;V00450;V00451;V00452;V00453;V00454;V00455;V00456;V00457;V00458;V00459;V00460;V00461;V00462;V00463;V00464;V00465;V00466;V00467;V00468;V00469;V00470;V00471;V00472;V00473;V00474;V00475;V00476;V00477;V00478;V00479;V00480;V00481;V00482;V00483;V00484;V00485;V00486;V00487;V00488;V00489;V00490;V00491;V00492;V00493;V00494;V00495;CD_MUN
230280005000001;17;X;0;27;0;3;X;0;9;0;14;X;0;16;0;20;26;5;8;18;14;64;27;0;0;0;0;0;X;33;13;0;0;0;0;0;0;11;X;0;0;0;0;0;X;20;12;0;0;0;0;0;0;23;4;0;37;0;12;X;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;0;26;38;18;9;0;0;0;0;0;0;0;0;0;0;0;X;92;0;0;46;0;0;13;0;0;32;0;0;35;5;0;52;0;0;0;0;0;0;0;0;0;0;0;44;48;0;0;0;0;40;33;12;7;0;0;0;19;18;4;5;0;0;0;12;0;X;0;0;0;0;8;15;7;X;0;0;0;14;X;0;25;0;16;X;0;16;0;X;3;0;8;0;4;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;23;19;14;5;7;3;4;0;0;0;0;0;0;69;X;0;11;0;11;0;0;38;X;0;5;0;X;0;0;X;0;0;4;0;8;0;0;30;0;0;X;0;0;0;0;28;4;0;37;0;X;0;0;0;0;0;0;0;0;0;X;X;0;8;0;0;0;0;0;0;4;0;0;7;0;0;0;0;0;0;0;0;0;0;0;36;33;X;0;0;0;3;8;0;0;4;7;0;0;0;0;66;25;0;0;X;0;37;9;0;0;0;0;X;11;0;0;0;0;27;5;0;0;0;0;27;X;0;37;0;7;3;0;15;0;0;0;0;0;0;0;0;0;0;0;X;0;0;0;0;0;0;0;0;0;33;33;10;15;0;0;0;0;X;0;0;0;25;3;13;0;X;X;11;X;10;X;0;14;0;X;0;0;X;0;16;9;X;X;40;33;12;3;X;X;0;0;X;92;0;2302800
230280005000002;29;X;X;41;X;0;0;0;0;0;11;3;X;20;0;18;57;0;0;14;21;90;18;0;0;0;0;X;X;67;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;10;0;0;0;0;X;X;33;4;3;49;X;7;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;0;0;0;0;0;0;X;0;26;64;5;13;0;0;0;0;0;0;0;0;0;X;X;0;110;0;0;75;0;0;0;0;0;35;0;0;40;5;3;61;X;0;0;0;0;0;0;0;0;0;0;32;78;0;0;0;0;38;37;25;10;0;0;0;18;28;21;8;0;0;0;0;0;0;0;0;0;0;20;9;4;X;0;0;0;13;3;X;20;0;11;X;X;23;X;12;X;0;12;0;4;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;28;9;28;8;17;5;5;0;0;0;0;0;0;77;7;6;17;0;X;X;0;49;4;4;16;0;X;0;0;0;0;0;0;0;0;0;0;28;3;X;X;0;0;X;0;31;5;X;39;0;0;0;0;7;0;0;0;0;6;0;8;0;X;7;X;0;0;0;0;0;X;0;0;X;0;0;0;0;X;0;0;0;0;0;0;21;56;4;3;X;4;5;12;0;0;0;X;0;X;0;0;88;21;0;0;0;X;57;18;0;0;0;0;0;0;0;0;0;0;31;3;0;0;0;X;36;4;X;46;0;4;X;X;14;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;0;26;62;6;15;0;0;0;0;0;0;0;X;11;9;X;6;0;0;9;3;3;X;0;7;0;4;0;0;5;0;3;8;3;6;38;37;25;8;X;0;0;0;0;110;0;2302800
230280005000004;31;17;0;34;0;0;0;0;0;0;27;8;0;51;0;30;52;0;0;43;43;118;42;X;0;0;0;X;5;66;14;X;0;0;0;X;0;0;0;0;0;0;0;0;0;52;28;0;0;0;0;X;5;42;19;0;57;0;13;6;0;23;0;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;0;0;X;0;X;0;0;4;0;51;67;18;24;X;0;0;0;0;0;0;0;X;X;X;3;164;3;X;78;3;X;0;0;0;86;0;0;58;24;0;82;0;0;0;0;3;0;0;X;0;0;0;70;94;X;X;X;0;118;43;5;X;0;0;0;48;29;3;X;0;0;0;0;0;0;0;0;0;0;70;14;X;0;0;0;0;34;20;0;64;0;19;5;0;19;0;4;0;0;X;0;X;0;0;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;72;23;20;4;X;0;X;0;0;0;0;0;0;99;19;12;6;0;X;31;0;50;10;7;4;0;X;10;0;0;0;0;0;0;0;0;0;49;9;5;X;0;0;21;0;36;14;0;49;0;4;5;0;10;0;8;X;0;3;0;X;X;0;3;0;0;0;0;0;0;X;0;0;0;0;7;4;0;20;0;0;0;0;0;0;46;53;4;15;7;5;3;3;0;0;X;0;12;19;0;0;125;42;0;0;0;X;69;13;0;0;0;0;0;0;0;0;0;0;56;29;0;0;0;X;44;21;0;60;0;14;4;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;0;55;70;17;25;0;0;0;0;0;0;X;0;14;36;4;12;0;0;10;24;4;X;0;8;0;12;4;0;20;0;6;8;16;20;118;43;5;X;X;0;0;0;0;168;0;2302800
230280005000005;49;13;0;152;0;0;0;0;0;0;14;X;0;33;0;83;131;0;0;18;30;246;16;0;0;0;0;0;0;211;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;13;0;0;0;0;0;0;58;14;0;174;0;5;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98;148;3;13;0;0;0;0;0;0;0;0;0;0;0;0;262;0;0;214;0;0;0;0;0;48;0;0;63;14;0;185;0;0;0;0;0;0;0;0;0;0;0;101;161;0;0;0;0;140;96;22;4;0;0;0;118;72;20;4;0;0;0;0;0;0;0;0;0;0;22;24;X;0;0;0;0;33;8;0;99;0;23;5;0;68;0;7;X;0;14;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;86;34;62;11;11;X;X;0;0;0;0;0;0;253;0;X;8;0;0;0;0;207;0;X;6;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;X;0;0;0;0;60;14;0;179;0;0;0;0;0;0;X;0;0;0;0;X;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101;152;0;0;0;X;0;8;0;0;0;0;0;0;0;0;261;0;X;0;0;0;214;0;0;0;0;0;0;0;0;0;0;0;47;0;X;0;0;0;63;14;0;184;0;0;0;0;0;0;0;0;0;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101;160;0;0;0;X;0;0;0;0;0;0;10;6;X;X;0;0;8;5;4;0;0;6;0;X;0;0;5;0;3;7;0;6;140;96;22;4;0;0;0;0;0;262;0;2302800
230280005000006;52;12;0;139;0;X;0;0;9;0;3;0;0;15;0;88;115;7;4;7;11;195;36;0;0;X;0;0;0;178;24;0;0;X;0;0;0;6;5;0;0;0;0;0;0;11;7;0;0;0;0;0;0;46;11;0;138;0;11;X;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;115;21;15;0;0;0;0;X;0;0;0;0;0;0;0;230;X;0;201;X;0;11;0;0;18;0;0;57;11;0;162;0;0;X;0;X;0;0;0;0;0;0;100;130;X;0;0;0;122;83;13;12;X;0;X;94;82;13;12;X;0;X;11;0;0;0;0;0;0;17;X;0;0;0;0;0;24;8;0;90;0;25;3;0;55;0;6;0;0;7;0;X;0;0;10;0;0;0;0;X;0;0;0;0;0;0;0;X;0;0;0;49;73;35;48;5;8;11;X;X;0;0;0;X;0;80;3;71;28;6;43;0;X;62;3;61;27;6;43;0;X;5;0;6;0;0;0;0;0;13;0;4;X;0;0;0;0;23;X;0;55;0;X;0;0;X;0;15;6;0;50;0;5;0;0;23;0;0;X;0;5;0;13;X;0;28;0;0;0;0;0;0;0;X;0;0;0;40;40;0;3;26;45;16;12;X;4;17;26;0;0;X;0;176;56;0;0;0;0;151;52;0;0;0;0;11;0;0;0;0;0;14;4;0;0;0;0;46;5;0;125;0;11;7;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;101;27;29;0;0;0;0;0;0;0;0;12;25;11;14;0;5;X;6;4;X;0;7;0;7;0;0;18;0;9;3;13;12;122;83;13;7;X;0;X;0;3;230;X;2302800
230280005000007;59;15;0;144;0;0;X;0;0;0;13;X;0;30;X;87;131;0;X;22;25;252;13;0;0;0;0;0;3;211;5;0;0;0;0;0;X;X;0;0;0;0;0;0;0;38;8;0;0;0;0;0;X;68;16;0;166;X;5;X;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;0;X;0;105;147;5;8;0;0;0;0;0;0;0;0;0;0;X;X;265;X;X;216;X;0;X;0;0;46;0;X;73;17;0;173;X;0;X;0;X;0;0;0;0;X;0;109;156;X;X;X;0;202;48;11;3;X;X;X;174;33;6;X;X;X;X;X;0;0;0;0;0;0;25;15;5;X;0;0;0;54;14;0;132;X;13;X;0;33;0;4;0;0;7;0;X;0;0;X;0;0;X;0;X;0;X;0;0;0;0;0;X;0;0;0;83;119;17;31;6;5;X;X;X;X;X;0;X;0;122;17;36;84;0;0;8;X;100;15;27;69;0;0;6;X;0;0;X;0;0;0;0;0;21;X;8;14;0;0;X;0;33;8;0;80;X;5;X;0;11;0;14;4;0;18;0;19;3;0;61;X;0;0;0;0;0;0;0;0;0;0;X;X;0;5;0;0;X;0;0;0;50;72;4;13;15;21;39;45;0;0;0;0;X;6;X;0;182;85;X;0;0;0;148;69;X;0;0;0;X;0;0;0;0;0;33;14;0;0;0;0;49;13;0;119;X;23;5;0;56;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;112;41;44;0;X;0;0;0;0;0;0;11;5;6;X;0;0;5;4;4;X;0;6;0;X;X;0;3;0;4;7;X;3;202;48;11;X;X;0;0;0;0;264;4;2302800
230280005000008;24;8;X;73;0;0;0;0;0;0;0;0;0;0;0;43;63;0;0;0;0;104;X;0;0;X;0;0;0;104;X;0;0;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;6;X;73;0;0;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;62;X;0;0;0;0;0;0;X;0;0;0;0;0;0;106;0;0;106;0;0;0;0;0;0;0;0;24;8;X;73;0;0;0;0;0;0;0;0;0;0;0;43;63;0;0;0;0;56;32;10;7;X;0;0;56;32;10;7;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;3;0;40;0;8;4;X;19;0;X;0;0;8;0;X;X;0;5;0;0;0;0;X;0;0;0;0;0;0;0;0;0;0;0;24;32;10;22;5;5;4;3;0;X;0;0;0;0;16;0;X;42;27;19;0;0;16;0;X;42;27;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;X;0;12;0;0;0;0;0;0;X;0;0;X;0;10;4;X;27;0;5;X;0;20;0;5;X;0;13;0;0;0;0;0;0;0;0;0;0;0;7;9;0;0;0;X;20;22;11;16;5;14;0;0;0;0;102;4;0;0;0;0;102;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;8;X;73;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;61;X;X;0;0;0;0;0;0;0;0;X;X;X;X;0;0;0;0;0;X;0;0;0;0;X;0;0;0;0;X;X;0;56;32;10;4;X;0;X;0;0;105;X;2302800
230280005000009;57;12;0;140;0;X;X;0;3;0;13;3;0;29;0;78;131;X;3;20;25;240;19;0;0;0;0;0;0;201;8;0;0;0;0;0;0;0;5;0;0;0;0;0;0;39;6;0;0;0;0;0;0;68;15;0;157;0;3;X;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91;149;9;10;0;0;0;0;0;0;0;0;0;0;0;0;256;X;X;207;X;X;4;0;X;45;0;0;69;16;0;171;0;0;0;0;X;0;X;0;0;0;0;98;158;X;0;X;X;145;81;25;7;X;0;0;112;66;24;7;0;0;0;4;0;0;0;X;0;0;29;15;X;0;0;0;0;33;11;0;101;0;26;3;0;52;0;9;X;0;15;0;X;X;0;4;0;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;96;36;45;10;15;4;3;X;0;0;0;0;0;154;16;22;42;5;20;0;0;129;15;12;29;5;19;0;0;3;0;0;X;0;0;0;0;22;X;10;11;0;X;0;0;41;10;0;103;0;5;X;0;10;0;9;X;0;11;0;9;3;0;30;0;0;0;0;5;0;7;0;0;13;0;0;0;0;0;0;0;0;0;0;0;58;96;4;12;11;11;16;26;4;X;7;13;0;0;0;0;257;X;X;0;0;0;208;X;0;0;0;0;4;0;X;0;0;0;45;0;0;0;0;0;71;16;0;170;0;0;0;0;X;0;0;0;0;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;158;X;0;0;X;0;0;0;0;0;0;13;6;5;3;3;X;5;X;0;X;0;12;0;3;0;0;3;0;6;7;3;3;145;81;25;5;X;0;0;0;0;258;X;2302800
230280005000010;66;31;0;209;0;0;3;0;3;0;4;X;0;18;0;99;207;4;X;4;20;323;7;0;0;0;0;0;6;296;4;0;0;0;0;0;6;6;0;0;0;0;0;0;0;21;3;0;0;0;0;0;0;67;34;0;222;0;X;X;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;0;3;0;100;223;3;4;0;0;0;0;0;0;0;0;0;0;4;X;328;X;6;298;X;6;6;0;0;24;0;0;67;35;0;226;0;X;0;0;X;0;X;X;0;3;0;102;226;X;0;3;3;235;81;13;4;0;X;X;212;75;12;4;0;X;X;5;X;0;0;0;0;0;18;5;X;0;0;0;0;52;23;0;160;0;15;11;0;55;0;X;0;0;12;0;X;X;0;X;0;0;0;0;0;0;0;0;0;X;0;X;0;0;X;0;71;164;29;52;3;10;X;X;0;0;X;0;X;X;195;23;108;7;0;0;X;X;174;23;100;6;0;0;X;X;3;0;X;X;0;0;0;0;18;0;6;0;0;0;0;0;40;25;0;130;0;5;X;0;16;0;22;6;0;80;0;X;3;0;3;0;0;0;0;0;0;0;0;0;0;0;X;0;0;0;0;X;0;0;X;0;55;140;8;15;39;69;4;3;0;0;0;0;0;X;X;X;251;76;0;0;0;9;224;73;0;0;0;9;3;3;0;0;0;0;24;0;0;0;0;0;57;26;0;168;0;10;9;0;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;X;0;5;0;73;178;29;47;0;0;0;0;0;0;5;4;0;13;0;10;0;0;0;3;0;0;0;0;0;3;X;0;8;0;0;0;7;6;235;81;13;X;X;0;0;0;0;333;3;2302800
230280005000011;97;45;X;295;0;3;X;0;9;0;12;5;0;18;0;184;254;5;8;19;16;475;5;0;0;X;X;0;3;427;5;0;0;X;X;0;3;13;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;109;49;X;316;0;X;X;0;X;0;0;0;0;0;0;0;0;0;0;0;0;X;0;X;0;X;0;0;0;0;0;0;0;0;0;0;0;0;3;0;204;271;X;3;0;0;0;0;X;X;0;X;0;0;X;X;472;8;6;424;8;6;13;0;0;35;0;0;110;48;X;313;0;X;X;0;4;0;0;X;0;5;0;201;271;4;4;3;3;307;155;18;5;X;0;0;269;149;15;4;X;0;0;13;0;0;0;0;0;0;25;6;3;X;0;0;0;73;33;X;200;0;35;15;0;105;0;X;3;0;13;0;X;0;0;4;0;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;121;186;76;79;7;11;3;X;X;0;0;0;0;0;137;7;56;249;16;17;4;0;121;7;53;221;16;17;3;0;5;0;X;7;0;0;0;0;11;0;X;21;0;0;X;0;32;17;0;88;0;X;X;0;5;0;12;X;0;42;0;60;26;X;162;0;3;3;0;10;0;3;X;0;12;0;X;0;0;3;0;0;0;0;0;0;48;89;3;4;24;32;114;135;8;8;9;8;X;X;0;0;210;245;3;X;26;X;186;223;3;X;24;X;X;10;0;0;X;0;22;12;0;0;X;0;50;22;0;138;0;55;27;X;162;0;0;0;0;3;0;X;0;0;0;0;6;X;0;18;0;0;0;0;X;0;88;122;103;142;X;X;X;0;14;12;0;X;4;7;4;7;0;0;0;0;3;X;0;0;0;0;X;0;6;0;X;3;3;4;307;155;18;4;0;X;0;0;0;485;X;2302800
